	GSM1017517_H1D3_OS.CEL.gz	GSM1017518_H2D3_OS.CEL.gz	GSM1017519_H3D3_OS.CEL.gz	GSM1017520_H4D3_OS.CEL.gz	GSM1017521_H5D3_OS.CEL.gz	GSM1017522_H6D3_OS.CEL.gz	GSM1017523_H7D3_OS.CEL.gz	GSM1017524_H8D3_OS.CEL.gz	GSM1017525_H9D3_OS.CEL.gz	GSM1017526_H10D3_OS.CEL.gz	GSM1017527_H11D3_OS.CEL.gz	GSM1017528_H1D3_TIO.CEL.gz	GSM1017529_H2D3_TIO.CEL.gz	GSM1017530_H3D3_TIO.CEL.gz	GSM1017531_H4D3_TIO.CEL.gz	GSM1017532_H5D3_TIO.CEL.gz	GSM1017533_H6D3_TIO.CEL.gz	GSM1017534_H7D3_TIO.CEL.gz	GSM1017535_H8D3_TIO.CEL.gz	GSM1017536_H9D3_TIO.CEL.gz	GSM1017537_H10D3_TIO.CEL.gz	GSM1017538_H11D3_TIO.CEL.gz	GSM1017539_H1D7_OS.CEL.gz	GSM1017540_H2D7_OS.CEL.gz	GSM1017541_H3D7_OS.CEL.gz	GSM1017542_H4D7_OS.CEL.gz	GSM1017543_H5D7_OS.CEL.gz	GSM1017544_H6D7_OS.CEL.gz	GSM1017545_H7D7_OS.CEL.gz	GSM1017546_H8D7_OS.CEL.gz	GSM1017547_H9D7_OS.CEL.gz	GSM1017548_H10D7_OS.CEL.gz	GSM1017549_H11D7_OS.CEL.gz	GSM1017550_H1D7_TIO.CEL.gz	GSM1017551_H2D7_TIO.CEL.gz	GSM1017552_H3D7_TIO.CEL.gz	GSM1017553_H4D7_TIO.CEL.gz	GSM1017554_H5D7_TIO.CEL.gz	GSM1017555_H6D7_TIO.CEL.gz	GSM1017556_H7D7_TIO.CEL.gz	GSM1017557_H8D7_TIO.CEL.gz	GSM1017558_H9D7_TIO.CEL.gz	GSM1017559_H10D7_TIO.CEL.gz	GSM1017560_H11D7_TIO.CEL.gz
7892516	1.94865234006063	3.6156695135145	3.15306242438376	2.25193360964446	2.57395055178034	1.95963895955988	4.28819296682836	5.65956397051223	1.85391078614566	3.8004388122316	3.76621141977432	2.2581463499165	1.93444552301176	4.41616698403824	2.16169511202169	2.68942453727585	2.23677785187208	4.36875952872435	2.87127538610758	3.6508351450312	3.93179732139825	4.74474502796315	2.28333148611792	3.44469407859464	3.12524088845142	3.19905589315865	2.38427392249831	4.03419704480297	4.79919149149869	2.95349602727887	3.067401547446	4.71328198228134	5.23945264518233	4.32381694513359	2.40652235847892	3.53932046295787	1.95721050602621	1.67034405966516	3.70773491420701	4.65427731915034	4.51827036107708	3.24551619770765	3.70636216201507	4.74875524027085
7892535	6.11326478172717	3.58548092974374	1.95362738861641	1.90595964649732	2.95344442053272	3.88289662522637	4.90827250569212	2.27977881132664	2.94251649143805	5.18423538715122	2.3357023575702	3.6659308809843	2.76600397962104	4.61438361966476	1.93629843851587	4.96038209175847	3.12420340176742	3.25115237971062	5.03455946763066	3.75512159958198	3.50424446485204	5.67787934410794	4.11589264767142	4.59824069523931	6.47302636687889	2.51951996705592	4.41919519771428	3.77155529973061	3.93093779160013	5.07845126987468	4.81232179595098	2.14925151390798	4.69987904621941	3.38236030021912	4.7392118921577	6.15661001947196	1.8197677239301	3.23875819693892	5.51970699111517	4.44228442619114	4.5267903071585	4.8269480899028	4.20738419020942	2.44680123252309
7892598	3.41952437718038	5.51377630018798	2.37252946850939	3.26332473305987	3.38680337601143	3.97564699761655	3.2890087132811	4.96159263291728	3.85015619069643	4.8275315153214	5.33623524026268	3.88753957348454	3.45306224937279	6.12743127111021	3.27155112092715	3.76783648711928	1.77961321628158	4.20200031282987	3.72834433614437	2.79948956551294	4.37279455435233	4.49677312870158	4.40582829675257	3.58410967703233	5.27837521066154	5.4557673064299	5.27678988030406	4.41366225366758	5.42122829693079	5.65526546828778	5.3682288130803	4.6516915840663	5.9593042493377	2.80772861570952	6.98150047240638	6.08614107459418	4.60009324159021	3.2201562366113	3.62692886295473	6.41677773078339	6.02638239662207	4.8438059718938	6.33224701214011	6.0789869543038
7892672	3.65196776005404	3.49684132897391	2.93955381421028	5.11788399147641	5.35587937231324	5.26578957680331	5.78532698967836	5.47944705501756	4.92155397000629	4.10230789004869	5.66184624865698	2.59606324424223	3.25640255657377	5.27021605488713	3.58301818104252	5.67591230194242	2.55666011230335	5.78293289722841	6.21878655797942	5.73449158662036	5.81550601666738	4.857759932443	2.58794870562653	3.10256415537721	2.62215269591581	3.37329073253579	5.84972807946102	4.55081428126213	5.7952534192496	5.14539013551163	4.18137662350897	4.75954996692409	4.86310562735934	3.37097165777996	5.11369201259206	3.46150548281036	3.50525330268942	5.47508606081732	3.51310218407371	3.52646702957443	3.90156197658762	3.87727573015687	3.00829636759556	4.88560698863581
7892678	3.19742903039716	3.46520303397929	3.96119359058195	4.01700580215038	3.30189807238506	3.45691098593539	5.1348800265562	5.71729735955635	5.18250760249613	5.27077917160281	5.57802034489545	3.44535219474731	3.12382156303708	5.71824902077124	4.32743158852825	3.95418709318741	2.70436741794908	5.61268975559606	3.54930246114431	4.10683021524633	2.90138490081283	5.08202857787187	3.29949274893766	6.08931306200567	4.48347996860755	5.68698064730499	3.7826637518548	4.20430460689858	5.94656134912575	6.23266883192077	4.51533737260227	4.65637032194538	6.21858323719401	3.53712333985378	5.65549645043023	5.86558022631002	4.88033484054179	4.41197619518383	3.85813049872425	6.16850144991959	6.23681512240957	5.28858541120608	5.34032577535937	5.84579385733892
7892688	2.84174058663542	5.54078551198965	4.9496862409998	3.01041351699184	3.94744276093324	3.95155229665479	3.9448492489001	5.71604701513217	3.22317521686551	4.5951557310511	4.85625583151436	3.6279745872868	4.18274973358701	5.57475650174919	4.28011721909235	3.40347986721492	3.72800108617254	4.29815783689151	5.10783544190757	4.55439844165728	6.20960923741311	5.54540957462317	2.70730066129027	5.8881141064734	2.67307300613618	3.85914710874388	4.91103272291662	5.38959116726383	5.78551029601863	6.45689771563094	4.72295755063519	5.15879600443209	4.86644422131372	3.45594093787206	5.56525441693177	4.54688968533327	3.28880979485546	3.07548090650521	4.36743701928867	6.18164972614012	5.50011984088171	4.08785942471826	5.60999616886343	5.42517439981855
7892744	4.76320642332746	2.19219564705462	2.63855515560099	3.5676818894096	2.10099928500494	6.16257271634474	3.55259874522595	4.13512409898051	6.13533508651315	4.49898067193295	4.90453089595283	4.86451560484515	5.15155407306153	4.86564064719643	2.8804313524935	5.85203215183752	5.61111268759558	3.90290258649993	2.37243537794033	4.86000729590905	3.24745307971427	6.96438001543475	1.41565538084522	2.2634108774207	2.06096056731523	1.8237030713624	4.23082986721178	4.7263297608158	2.16568860465988	4.11230458740021	2.3357023575702	2.53238745169488	2.89903923284565	2.32623973908928	2.24458490685866	4.55746106684855	4.59954369207495	2.02301982420658	4.30647473927659	3.74444424943839	5.29099212153661	4.978158883061	3.45988129056113	4.18743881160686
7892819	2.44680123252309	1.82681080713716	2.14770837175969	3.93093779160013	5.31866994547877	1.71649777844481	5.33823164860625	5.1389755858289	1.96519323559842	3.06860293309452	2.58971432917072	1.56726581618987	1.76500356103052	5.18957653867654	4.35875396583752	4.53245066640548	1.84786287531236	2.36899740439653	3.8047661288045	2.14624375319951	4.43522112759484	5.22873411207749	1.54032358949364	6.41887544143401	1.53783998790726	3.75256464220394	2.38962104050242	3.42518821545595	3.47352225687717	1.9566625735693	1.66570087048649	2.09163310312768	2.89903923284565	2.71993765255356	3.54152945339484	1.75991235596232	2.50072451076396	2.17492015455002	1.48783184139794	3.63545485295898	3.17593197501931	1.66468133890555	1.71649777844481	3.48672761019414
7892910	3.06229209151047	6.53550628511609	6.05340572139237	6.15706956485236	6.22741340560976	5.47397012762411	5.41239513390981	4.07001503058871	2.31029435812719	3.06860293309452	5.14991747177534	4.54135868274797	5.15155407306153	5.5211356857501	5.59661213417081	6.49754561562038	5.75220654815996	5.96452964818555	6.03105554096061	4.23562552608611	5.74305313154159	2.33221182832206	3.08803310151298	5.31239000975902	4.63988813292287	3.35544842870364	5.1886777886362	5.71107305883497	6.2330859868796	5.8027264157227	2.74569477938076	6.16531644284129	1.75416359777012	5.6151312459867	4.84643255027636	3.39795209845779	3.37511573942759	5.94135559564736	2.2634108774207	3.13271880401519	6.70975724198162	5.27289151027815	5.31373218779241	2.38962104050242
7892936	3.47431438789106	4.96479923952578	4.73225768007169	5.64948251748858	4.74193278010077	2.78242850335287	2.7783732090002	4.23251991810897	3.25033502620287	2.80334499025265	3.60276862582489	3.55159696629801	5.50192044831536	2.81898511050934	4.67667486298008	4.27747780724689	3.63104662483584	4.93212224729942	4.78099889532423	2.83736597858188	4.77866273032835	3.68809597597346	4.89844955722223	3.13187691256938	4.78628630559757	4.52764612835468	3.62988139163339	3.84437482842121	3.68142184033767	2.58004119605564	2.43771768034948	3.52526996484637	3.43030640014566	4.85583033296277	2.83093175175579	2.74577099656063	4.73218521793044	3.10908483144313	4.36412734251258	4.28077004896142	3.21664734831292	2.06664619714058	3.56063421111958	2.92090990133298
